Year,Week,Winning Team,Winning Score,Losing Team,Losing Score
2013,Week 11,The Moose Whisperers,122.98,Avengers Athletics,107.18
2013,Week 12,the_Dark_Side,83.7,The Brute Squad,62.62
2013,Week 12,Grid Iron Anemia,98.76,Non-fiction People,61.98
2013,Week 12,Fighting Americans,102.5,Sconstance,82.26
2013,Week 12,Avengers Athletics,107.88,Black Bears,80.82
2013,Week 12,istilldontknowstuff,108.42,The Moose Whisperers,89.48
2013,Week 13,The Brute Squad,110.08,Fighting Americans,88.1
2013,Week 13,The_Dark_Side,155.82,Non-fiction People,102.44
2013,Week 13,Grid Iron Anemia,144.04,istilldontknowstuff,63.88
2013,Week 13,Sconstance,105.7,Avengers Athletics,102.4
2013,Week 13,Black Bears,140.88,The Moose Whisperers,96.5
2013,Wild Card 1,Non-fiction People,140.24,Black Bears,61.16
2013,Wild Card 2,The Brute Squad,112.56,Grid Iron Anemia,104.82
2013,Consolation 1,Avengers Athletics,87.8,the moose Whisperers,78.74
2013,Consolation 2,istilldontknowstuff,134.72,Fighting Americans,96.72
2013,Semi Final 1,Non-fiction People,152.04,The_Dark_Side,69.56
2013,Semi Final 2,The Brute Squad,141.42,Sconstance,124.72
2013,5th Place,Black Bears,121,Grid Iron Anemia,96.76
2013,9th Place,Fighting Americans,107.18,the moose Whisperers,95.28
2013,7th Place,istilldontknowstuff,78.14,Avengers Athletics,37.08
2013,3rd Place,the_Dark_Side,151.3,Sconstance,94.54
2013,Championship,Non-fiction People,137.84,The Brute Squad,85.5
2014,Week 1,The Brute Squad,90.38,istilldontknowstuff,70.32
2014,Week 1,Black Bears,142.94,Low Expectations,113.42
2014,Week 1,Password is Taco,120.84,Fighting Americans,84.16
2014,Week 1,Non-fiction People,116.5,The Moose Whisperers,73.36
2014,Week 1,The_Dark_Side,84.04,Avengers Athletics,77.16
2014,Week 2,The Brute Squad,129.04,Black Bears,101.14
2014,Week 2,istilldontknowstuff,77.58,The_Dark_Side,71.58
2014,Week 2,Fighting Americans,101.58,Low Expectations,79.54
2014,Week 2,Non-fiction People,126.88,Password is Taco,117.94
